#        ID    YR  MO  DY  HR MN     SC      lon      lat    depth    MAG
201003224004  2010   3  22   2  18  37.00 -96.7500  35.5560     8.00    3.7    
201003224017  2010   3  22   6  29  50.00 -97.4520  36.0910     8.20    2.6    
201003224021  2010   3  22   8   4  20.00 -96.7970  35.5560     5.00    2.7    
201003224026  2010   3  22   9  51  18.00 -96.7650  35.5800     5.00    2.8    
201004014021  2010   4   1  15  21  10.00 -96.7480  35.5800     5.00    2.5    
201004034032  2010   4   3  13  19  52.00 -97.3040  35.5420     1.50    2.8    
201004034033  2010   4   3  14  26  34.00 -97.2960  35.5250     1.10    2.7    
201004074084  2010   4   7  14  18  58.00 -96.7300  35.5400     1.20    2.5    
201004084055  2010   4   8  12  43  42.00 -97.2840  35.5230     0.40    3.4    
201004104009  2010   4  10   2  31  49.00 -97.2880  35.5320     3.60    2.8    
201004104038  2010   4  10   9  40  34.00 -97.2750  35.5310     2.20    2.5    
201004124014  2010   4  12   4  48   4.00 -97.1220  35.6110     5.00    3.0    
201004124027  2010   4  12   9  10  40.00 -96.3230  34.6350     0.10    2.5    
201004154003  2010   4  15   0  51  49.00 -96.3980  34.7050     5.00    3.0    
201004154043  2010   4  15  13  36  22.00 -96.2680  34.6310     0.90    3.2    
201004154062  2010   4  15  21  26  45.00 -97.3730  34.3090     5.00    2.5    
201004214002  2010   4  21   1  14  11.00 -97.2640  35.4970     1.40    2.6    
201004214029  2010   4  21  16  52  47.00 -97.2590  35.4860     3.50    2.6    
201004224014  2010   4  22   9  42  11.00 -97.3020  35.5240     5.00    2.5    
201004294040  2010   4  29  15  32  52.00 -94.3140  36.3350     0.00    2.5    
201004294049  2010   4  29  22  16   0.00 -96.3910  34.6490     1.30    2.7    
201005074009  2010   5   7   6   5  18.00 -97.2550  35.4840     6.40    2.5    
201005074023  2010   5   7  12  57  44.00 -97.2990  35.5280     5.20    3.4    
201005094002  2010   5   9   1  27  11.00 -97.2960  35.5290     4.50    2.5    
201005214001  2010   5  21   0  53   1.00 -94.2980  36.4060     5.90    2.7    
201006124007  2010   6  12   4  53  29.00 -97.1980  35.6320     5.00    2.7    
201006144035  2010   6  14  21  57  33.00 -97.6760  34.8650     5.00    3.1    
201006194004  2010   6  19   2  32  14.00 -97.4170  35.0150     5.00    2.7    
201006214030  2010   6  21  23  40  33.00 -96.5470  34.7520     5.00    2.5    
201006224037  2010   6  22  23  38  27.00 -97.2910  35.5310     4.30    2.7    
201006304044  2010   6  30  23  51  34.00 -97.4760  34.2660     3.80    2.7    
201007014007  2010   7   1   1  32  41.00 -97.4400  34.2580     5.00    2.6    
201007014008  2010   7   1   1   1  46.00 -97.4520  34.2510     2.90    2.5    
